cluster3,cluster4,cluster5,Latitude,Longitude
2,1,0,40.7144568,-73.9352898
0,1,0,40.7460347,-73.9344002
2,1,2,40.6908913,-73.9425174
2,1,2,40.6485604,-73.9596605
1,0,1,40.7849981,-73.8242222
0,1,0,40.7573797,-73.9269028
0,1,0,40.757125,-73.9719069
1,0,1,40.7702901,-73.8173172
0,1,0,40.7497247,-73.9836217
2,1,2,40.6743137,-73.9500807
2,1,2,40.6682244,-73.9534376
1,0,1,40.7066177,-73.7842729
1,0,1,40.6842783,-73.7830147
0,1,0,40.7786073,-73.9816215
2,2,2,40.6591074,-73.9957542
0,3,4,40.8091989,-73.9034737
0,3,0,40.7937683,-73.9341076
1,0,1,40.6625754,-73.8523842
2,1,2,40.6975836,-73.9496485
2,1,2,40.6262104,-73.9276589
2,2,2,40.6066705,-73.9725897
0,3,4,40.8439096,-73.8804621
2,1,0,40.7393751,-74.0080507
2,1,0,40.7327574,-73.9900269
1,0,1,40.773227,-73.7413565
1,1,2,40.6606564,-73.8857861
0,1,0,40.7540925,-73.9920774
2,1,2,40.6531902,-73.9662132
2,1,2,40.6745738,-73.9631381
2,1,2,40.6154331,-73.9138754
0,1,0,40.7852936,-73.9693348
2,2,2,40.6257308,-73.9563925
1,0,1,40.7419723,-73.8411542
2,1,2,40.6419491,-73.9322649
0,1,0,40.7639899,-73.93287
2,2,3,40.5612682,-74.1615323
2,1,0,40.7098381,-74.0148211
2,2,2,40.610681,-74.0066846
0,3,0,40.8082393,-73.9525847
2,1,2,40.6602775,-73.9257477
2,2,2,40.6076937,-73.9609097
2,2,3,40.6145627,-74.1565458
2,2,3,40.6105113,-74.0957491
1,0,1,40.6906815,-73.8042041
0,3,4,40.8050573,-73.9390342
2,1,2,40.6523187,-73.9275153
1,0,2,40.6493267,-73.8784359
2,1,0,40.7440605,-74.0068099
0,1,0,40.7410282,-73.9343077
2,2,2,40.5912224,-73.9857885
0,1,0,40.7565272,-73.994019
0,1,0,40.7511996,-73.8902615
2,1,2,40.6715924,-73.9842898
1,1,2,40.6606564,-73.8857861
2,2,2,40.6388991,-74.0167691
0,1,0,40.7595273,-73.999242
2,1,2,40.6195473,-73.9172632
1,0,1,40.678574,-73.8281139
1,0,1,40.7614474,-73.8028734
2,2,2,40.6045191,-73.9751655
1,0,1,40.6579482,-73.757215
0,1,0,40.7618573,-73.9634255
0,3,4,40.851531,-73.8648945
0,0,1,40.7412976,-73.8802781
0,3,4,40.831101,-73.857156
2,1,2,40.6897918,-73.9065423
1,0,1,40.7545534,-73.7431647
1,0,1,40.753791,-73.7442778
0,1,0,40.7463333,-73.8963254
0,1,0,40.7544905,-74.0067388
2,1,0,40.7250066,-73.9993434
1,0,1,40.6940665,-73.8014174
1,0,1,40.7407458,-73.8140241
2,1,2,40.667973,-73.995851
0,3,4,40.8042301,-73.9129984
2,1,0,40.7250834,-73.9953279
1,0,1,40.7151196,-73.7735714
0,1,0,40.7515772,-73.982275
2,2,3,40.6302913,-74.0889035
2,1,0,40.7207459,-73.9861577
1,0,1,40.7620943,-73.7569053
1,0,1,40.6951578,-73.8453953
0,1,0,40.7564966,-73.972362
0,3,4,40.851891,-73.8943174
2,2,2,40.6151303,-73.9942226
1,0,1,40.6954477,-73.8115648
1,0,2,40.6485805,-73.8714268
0,3,4,40.8617318,-73.9118139
2,2,2,40.6208177,-73.9566911
1,0,1,40.6604526,-73.867181
0,3,4,40.8149053,-73.8624038
2,2,2,40.6237244,-73.9746252
2,1,2,40.6320672,-73.9186024
2,2,3,40.6466639,-74.0889325
0,1,0,40.7514055,-74.0051756
1,1,2,40.7004921,-73.9014133
1,0,1,40.7096722,-73.77403
0,3,4,40.8394008,-73.8504775
2,1,0,40.7175957,-73.9963277
1,0,1,40.7012377,-73.794641
2,2,2,40.6067138,-73.9316956
0,1,0,40.7509908,-73.9906233
2,2,2,40.582725,-73.9732043
0,3,4,40.8195125,-73.9419402
1,1,1,40.7248824,-73.8841355
0,1,0,40.755251,-73.9986609
1,0,1,40.7583638,-73.7794561
0,3,4,40.8305827,-73.8273743
1,0,1,40.7270584,-73.8706309
2,1,0,40.7197501,-73.9921609
2,2,3,40.5704668,-74.1097619
0,1,0,40.7527424,-73.975103
0,1,0,40.7259197,-73.8953397
0,1,0,40.7521904,-73.9934636
0,3,4,40.8678745,-73.8662641
0,3,4,40.8476674,-73.9010217
0,3,0,40.8035674,-73.9671411
0,3,4,40.8370652,-73.8868204
1,0,1,40.7440862,-73.714728
0,3,4,40.8083355,-73.9408591
0,3,4,40.8062963,-73.9360169
0,3,0,40.7875082,-73.9382948
2,2,2,40.5842549,-73.9637866
1,0,1,40.6053345,-73.7552743
2,1,2,40.6957911,-73.933119
1,1,2,40.7023351,-73.8907279
0,1,0,40.7694395,-73.9518578
0,3,4,40.8197478,-73.9142613
2,1,2,40.7003674,-73.9066176
2,1,2,40.6781,-74.0023387
2,1,2,40.6448554,-73.9228497
0,3,4,40.8523247,-73.8629988
1,0,1,40.7419844,-73.8756217
2,2,2,40.6024665,-73.9663685
2,2,2,40.6168586,-73.9704819
2,2,2,40.614167,-74.0003962
0,3,4,40.8128179,-73.891977
2,1,2,40.6541788,-73.9107115
2,2,3,40.6076884,-74.1389164
2,2,3,40.6046944,-74.1154434
2,1,2,40.6487787,-73.9203766
0,3,4,40.8778697,-73.8700947
0,1,0,40.7914677,-73.9741062
1,0,1,40.7382845,-73.8029526
0,1,0,40.7521597,-73.9874902
2,1,0,40.7190095,-73.9501807
2,1,0,40.6984634,-73.9601965
2,1,0,40.7019617,-73.9440046
0,3,0,40.7993065,-73.9432328
0,3,4,40.8523071,-73.8620626
0,1,0,40.7429104,-73.9928041
2,1,2,40.6951153,-73.9118611
0,3,4,40.7747961,-73.9023287
2,2,2,40.5947802,-73.991675
0,1,0,40.7428752,-73.9339378
2,1,0,40.7024219,-73.9866917
0,3,4,40.8567572,-73.8628595
0,3,0,40.7991318,-73.9666629
0,3,4,40.7666318,-73.8890253
2,1,0,40.7173295,-73.9994481
1,0,1,40.6843828,-73.8232602
0,3,4,40.8264231,-73.8586728
2,2,3,40.6083089,-74.1313061
0,3,4,40.8034264,-73.933083
0,1,0,40.7717376,-73.961243
2,2,2,40.627971,-74.0232581
2,2,3,40.5462898,-74.1851217
0,1,0,40.7559505,-73.9907272
0,1,0,40.7497328,-73.9360965
1,0,1,40.7491907,-73.7078596
2,1,0,40.7119934,-74.0081015
2,2,2,40.6405559,-73.9768672
2,2,3,40.6151863,-74.1025669
2,1,0,40.7192472,-73.9540622
1,0,1,40.7555451,-73.7388336
0,3,4,40.8097014,-73.9030288
0,3,4,40.8275118,-73.9249432
2,1,0,40.7176586,-73.9922224
2,2,2,40.6173816,-73.9657379
0,3,4,40.8504573,-73.8993078
2,1,0,40.703182,-73.9538136
2,1,0,40.700791,-73.9604981
1,0,1,40.7184467,-73.8086138
2,1,2,40.6905469,-73.9585786
0,1,0,40.7761962,-73.9498707
2,2,2,40.5962324,-73.9381878
1,0,1,40.586429,-73.8177445
2,1,0,40.6965588,-73.9809032
0,1,0,40.7516393,-73.9098446
1,0,1,40.6864963,-73.8381571
0,1,0,40.7466818,-73.9744953
0,1,0,40.7524237,-74.0076661
2,2,3,40.5980812,-74.0922851
0,3,4,40.8270596,-73.9520112
0,3,0,40.7950523,-73.9331565
2,1,0,40.7036879,-73.9091737
2,1,2,40.6558432,-73.9195789
0,3,0,40.8012354,-73.9418153
0,3,4,40.8636899,-73.9170643
1,0,1,40.7525381,-73.7860479
2,1,2,40.6611533,-73.9801725
0,1,0,40.768595,-73.9852164
2,1,0,40.7184302,-74.0005303
0,1,0,40.7385681,-73.905532
0,1,0,40.727873,-73.9291223
2,1,2,40.6694023,-73.9421971
0,3,4,40.8084473,-73.9449951
2,1,0,40.7219458,-73.955442
1,0,1,40.7641725,-73.8396595
2,1,2,40.690993,-73.9893083
2,2,2,40.6341946,-73.969869
